Duplicate 1	Duplicate 2	Ka	Ks	Ka/Ks	P-Value
Sequence		Ka	Ks	Ka/Ks	P-Value(Fisher)
Glyma.01G000100	Glyma.03G000400	0.0119774	0.0736611	0.162602	0.026321
Glyma.01G000400	Glyma.02G312300	0.0331312	0.0452761	0.731759	0.290459
Glyma.01G000600	Glyma.14G000400	0.0455091	0.104699	0.434665	1.19368e-05
Glyma.01G000700	Glyma.08G360000	0.0250627	0.0503108	0.498157	0.163393
Glyma.01G000800	Glyma.17G191100	0.315771	1.75431	0.179997	4.33813e-11
Glyma.01G000900	Glyma.08G360000	0.030305	0.159601	0.18988	2.52468e-18
Glyma.01G001000	Glyma.08G359900	0.0411671	0.162047	0.254045	5.29269e-05
Glyma.01G001100	Glyma.08G359700	0.0245482	0.0887229	0.276684	1.78834e-05
Glyma.01G001200	Glyma.05G032600	0.726393	4.47882	0.162184	2.93881e-35
Glyma.01G001300	Glyma.20G192700	0.266219	4.64925	0.0572605	1.97783e-138
Glyma.01G001400	Glyma.15G040800	0.0577405	0.111625	0.517272	0.202274
Glyma.01G001500	Glyma.15G223600	0.117916	0.51621	0.228427	1.60608e-27
Glyma.01G001600	Glyma.13G184300	0.979988	4.43729	0.220853	2.50911e-31
Glyma.01G001800	Glyma.04G077100	0.438667	4.49305	0.0976323	2.20998e-62
Glyma.01G001900	Glyma.04G076800	0.348854	2.90283	0.120177	2.581e-79
Glyma.01G002000	Glyma.15G179800	0.698241	3.32476	0.210012	2.37042e-16
Glyma.01G002100	Glyma.09G072200	0.36632	4.88379	0.0750074	1.27088e-169
Glyma.01G002200	Glyma.02G150300	0.59928	3.4946	0.171488	1.36914e-13
Glyma.01G002300	Glyma.12G133400	0.0849081	0.280247	0.302976	1.02021e-13
Glyma.01G002400	Glyma.01G004000	0.843114	3.39588	0.248276	2.73372e-06
Glyma.01G002500	Glyma.05G076800	0.261768	0.554693	0.471915	0.0133645
Glyma.01G002700	Glyma.06G195100	0.567591	3.60736	0.157343	2.38327e-22
Glyma.01G002800	Glyma.13G351200	0.562917	2.51548	0.223781	6.04876e-13
Glyma.01G002900	Glyma.19G079000	0.717636	3.73372	0.192204	9.82652e-13
Glyma.01G003000	Glyma.18G156000	0.236948	0.413121	0.573555	0.00314415
Glyma.01G003400	Glyma.02G133100	0.329162	4.24214	0.0775934	2.18076e-52
Glyma.01G003500	Glyma.17G230100	0.143515	2.954	0.0485834	1.49107e-49
Glyma.01G003600	Glyma.14G093500	0.614879	1.55424	0.395613	9.73977e-15
Glyma.01G003800	Glyma.20G000400	0.552467	3.97891	0.138849	6.84408e-49
Glyma.01G003900	Glyma.17G158100	0.315518	4.25892	0.0740841	8.30076e-76
Glyma.01G004000	Glyma.08G028800	0.681031	3.42617	0.198773	9.22394e-10
Glyma.01G004100	Glyma.02G075900	0.571103	4.2393	0.134716	3.96865e-42
Glyma.01G004200	Glyma.05G223400	0.197415	1.08775	0.181489	2.42966e-18
Glyma.01G004400	Glyma.08G252400	0.594918	4.39899	0.13524	1.86399e-59
Glyma.01G004500	Glyma.07G127300	0.00455633	0.0914424	0.0498273	2.65414e-07
Glyma.01G004800	Glyma.15G021300	0.426024	4.78277	0.0890748	1.67155e-75
Glyma.01G004900	Glyma.14G091500	0.331632	3.70775	0.0894428	3.95323e-29
Glyma.01G005000	Glyma.06G050300	0.285662	3.78816	0.0754091	1.72444e-42
Glyma.01G005100	Glyma.07G126600	0.210815	1.64564	0.128105	2.38135e-24
Glyma.01G005200	Glyma.11G235800	0.434531	4.45663	0.0975021	6.44952e-104
Glyma.01G005300	Glyma.13G004600	0.511312	3.41317	0.149806	3.39558e-25
Glyma.01G005400	Glyma.04G086900	0.120778	4.31169	0.0280118	2.04e-111
Glyma.01G005500	Glyma.05G108700	0.0620418	0.136314	0.455138	0.00645166
Glyma.01G005600	Glyma.20G149500	0.502451	4.10047	0.122535	3.58201e-44
Glyma.01G005700	Glyma.08G231000	0.428551	3.59524	0.119199	9.66692e-19
Glyma.01G005800	Glyma.06G089600	0.347194	4.17085	0.083243	1.80281e-77
Glyma.01G005900	Glyma.15G020700	0.112574	4.81273	0.0233909	3.99274e-25
Glyma.01G006000	Glyma.14G209000	0.624834	3.51204	0.177912	1.91676e-11
Glyma.01G006100	Glyma.07G125400	0.104136	0.504008	0.206616	1.45641e-27
Glyma.01G006400	Glyma.07G125400	0.0177299	0.0855289	0.207297	3.2906e-08
Glyma.01G006500	Glyma.09G066000	0.623602	4.83977	0.12885	1.72853e-132
