Duplicate 1	Duplicate 2	Ka	Ks	Ka/Ks	P-Value
Sequence		Ka	Ks	Ka/Ks	P-Value(Fisher)
Glyma.01G017200	Glyma.01G095300	0.331397	2.12198	0.156174	2.61854e-26
Glyma.01G017300	Glyma.01G095600	0.193936	1.93086	0.10044	1.57126e-33
Glyma.01G017500	Glyma.01G095700	0.215206	3.64493	0.0590425	1.3344e-39
Glyma.01G017700	Glyma.01G096000	0.045933	0.589569	0.0779095	2.52951e-24
Glyma.01G018400	Glyma.01G096600	0.180479	1.83051	0.0985946	6.26028e-84
Glyma.01G018700	Glyma.01G096800	0.151296	0.76451	0.197899	1.62343e-18
Glyma.01G018800	Glyma.01G097000	0.16711	3.24497	0.0514983	0
Glyma.01G019000	Glyma.01G097100	0.0760522	0.368317	0.206486	1.33636e-14
Glyma.01G019200	Glyma.01G097400	0.0744521	0.974523	0.0763985	1.30771e-85
Glyma.01G019300	Glyma.01G097900	0.34041	2.31015	0.147354	1.6046e-38
Glyma.01G019400	Glyma.01G098000	0.0722079	0.826019	0.0874167	3.31356e-37
Glyma.01G078000	Glyma.01G137600	0.157026	0.976435	0.160815	2.42596e-20
Glyma.01G078200	Glyma.01G137500	0.273311	3.54561	0.0770842	5.25492e-24
Glyma.01G079000	Glyma.01G136600	0.378232	0.651303	0.58073	0.138879
Glyma.01G079100	Glyma.01G136500	0.0928943	0.71127	0.130603	2.44062e-61
Glyma.01G079500	Glyma.01G136300	0.30475	1.42137	0.214406	1.66404e-56
Glyma.01G079900	Glyma.01G134200	0.23788	1.94408	0.122361	1.57235e-44
Glyma.01G044900	Glyma.02G105500	0.0431348	0.0858018	0.502726	0.108017
Glyma.01G045100	Glyma.02G105600	0.0250491	0.0831535	0.301239	6.24908e-06
Glyma.01G045300	Glyma.02G105700	0.0323822	0.124069	0.261001	8.82339e-06
Glyma.01G045400	Glyma.02G105800	0.00957907	0.143308	0.0668427	5.27775e-08
Glyma.01G045500	Glyma.02G105900	0.0378931	0.280779	0.134957	1.40513e-20
Glyma.01G045700	Glyma.02G106000	0.0313882	0.0707909	0.443393	0.0757584
Glyma.01G045800	Glyma.02G106100	0.0193358	0.0498754	0.387682	0.0247804
Glyma.01G045900	Glyma.02G106200	0.0292265	0.0996174	0.293387	0.00316163
Glyma.01G046000	Glyma.02G106300	0.00652975	0.160996	0.0405586	1.84063e-21
Glyma.01G046400	Glyma.02G106600	0.029723	0.20141	0.147575	1.01419e-10
Glyma.01G046500	Glyma.02G106700	0.0105709	0.0688811	0.153466	9.18211e-05
Glyma.01G046600	Glyma.02G106800	0.040941	0.109915	0.372479	3.64131e-05
Glyma.01G046700	Glyma.02G106900	0.0103078	0.11515	0.0895158	2.61131e-16
Glyma.01G046800	Glyma.02G107000	0.0323241	0.0916044	0.352866	0.000111782
Glyma.01G047000	Glyma.02G107100	NA	0.141183	7.86373e-15	NA
Glyma.01G047700	Glyma.02G107500	0.01967	0.0995075	0.197674	5.4092e-06
Glyma.01G048200	Glyma.02G107900	0.0561233	0.151976	0.36929	0.00147116
Glyma.01G048500	Glyma.02G108100	0.0196479	0.0893986	0.219779	2.42729e-09
Glyma.01G048600	Glyma.02G108200	0.230194	0.930023	0.247515	9.63873e-08
Glyma.01G048700	Glyma.02G108300	0.061387	0.16225	0.378349	0.000970386
Glyma.01G048800	Glyma.02G108400	0.0215039	0.166271	0.12933	7.3202e-18
Glyma.01G049100	Glyma.02G108500	0.0249738	0.117297	0.212911	6.2706e-07
Glyma.01G049400	Glyma.02G108600	0.043717	0.145989	0.299454	2.80846e-08
Glyma.01G049500	Glyma.02G108700	0.0699884	0.131899	0.53062	0.17585
Glyma.01G049600	Glyma.02G108800	0.0534641	0.0719234	0.743347	0.229839
Glyma.01G049900	Glyma.02G108900	0.0454888	0.216405	0.210202	7.37627e-09
Glyma.01G050000	Glyma.02G109000	0.256041	0.488037	0.524633	0.00257437
Glyma.01G050100	Glyma.02G109100	0.00576357	0.0967099	0.0595965	1.57679e-08
Glyma.01G050400	Glyma.02G109200	0.0301554	0.234585	0.128548	2.65367e-15
Glyma.01G050500	Glyma.02G109400	0.0304061	0.0575032	0.528772	0.229433
Glyma.01G050700	Glyma.02G109600	0.059201	0.30099	0.196688	1.64651e-05
Glyma.01G051200	Glyma.02G109700	0.145662	0.302235	0.48195	0.0106191
Glyma.01G051300	Glyma.02G109800	0.0164631	0.0825675	0.199389	5.88883e-05
Glyma.01G051400	Glyma.02G109900	0.0268115	0.0910863	0.294353	2.26929e-14
Glyma.01G051600	Glyma.02G110000	0.0985353	0.196848	0.500566	0.00202321
Glyma.01G052200	Glyma.02G110400	0.0169057	0.0710816	0.237835	0.00633982
Glyma.01G052400	Glyma.02G110700	0.034303	0.0741434	0.462657	0.03808
Glyma.01G052500	Glyma.02G110800	0.0219967	0.0800267	0.274867	9.89173e-06
Glyma.01G052700	Glyma.02G111300	0.0130234	0.131863	0.0987643	3.72503e-09
Glyma.01G052800	Glyma.02G111400	0.024536	0.129215	0.189886	1.33638e-05
Glyma.01G052900	Glyma.02G111500	0.0849799	0.238738	0.355954	1.75176e-08
Glyma.01G053100	Glyma.02G111600	0.0138411	0.122936	0.112587	3.38497e-28
Glyma.01G053200	Glyma.02G111700	0.0147995	0.05848	0.253069	0.0285907
Glyma.01G053300	Glyma.02G111800	0.0277019	0.11116	0.249206	6.55603e-10
Glyma.01G053600	Glyma.02G111900	0.0277911	0.135392	0.205263	1.94418e-10
Glyma.01G053700	Glyma.02G112000	0.0320095	0.154846	0.206719	1.29016e-06
Glyma.01G053800	Glyma.02G112100	0.0349385	0.119388	0.292646	5.04165e-07
Glyma.01G054000	Glyma.02G112400	0.00519965	0.129028	0.0402987	1.67512e-06
Glyma.01G054100	Glyma.02G112500	0.0282062	0.111247	0.253544	3.41647e-06
Glyma.01G054200	Glyma.02G112600	0.0306371	0.141176	0.217014	9.04973e-06
Glyma.01G054300	Glyma.02G112800	0.0180568	0.110202	0.163851	8.57845e-07
Glyma.01G054400	Glyma.02G112900	0.0206659	0.181587	0.113807	2.61242e-08
Glyma.01G054500	Glyma.02G113000	0.0784715	0.172666	0.454469	0.00376673
Glyma.01G054800	Glyma.02G113300	0.0514715	0.0936944	0.549356	0.000293858
Glyma.01G054900	Glyma.02G113400	0.0670493	0.174902	0.383353	1.72688e-08
Glyma.01G055000	Glyma.02G113500	0.106158	0.224398	0.473077	0.000562933
Glyma.01G055200	Glyma.02G113600	0.0186591	0.0743141	0.251085	0.000152771
Glyma.01G055300	Glyma.02G113700	0.0274149	0.0822969	0.333122	2.58965e-05
Glyma.01G055400	Glyma.02G113800	0.0423148	0.110879	0.38163	0.0121241
Glyma.01G055500	Glyma.02G113900	0.0252386	0.0912295	0.27665	0.000492426
Glyma.01G055900	Glyma.02G114200	0.0238997	0.126107	0.189519	8.28898e-07
Glyma.01G056000	Glyma.02G114300	0.0302648	0.1041	0.290727	0.000293479
Glyma.01G056200	Glyma.02G114500	0.0553054	0.131312	0.421177	9.05471e-05
Glyma.01G056300	Glyma.02G114800	0.010797	0.137179	0.0787072	2.15392e-12
Glyma.01G056400	Glyma.02G115000	0.0628452	0.184949	0.339798	0.031419
Glyma.01G056500	Glyma.02G115100	0.0196945	0.0931398	0.211451	3.11972e-05
Glyma.01G056800	Glyma.02G115200	0.0580417	0.0936195	0.619974	0.0748796
Glyma.01G056900	Glyma.02G115300	0.0253558	0.127031	0.199604	8.78851e-10
Glyma.01G057100	Glyma.02G115400	0.00370309	0.145009	0.025537	3.09512e-24
Glyma.01G057400	Glyma.02G115500	0.085527	0.142101	0.601875	0.0478489
Glyma.01G057500	Glyma.02G115600	0.0244455	0.0985287	0.248105	2.35963e-08
Glyma.01G057600	Glyma.02G115700	0.0478013	0.120956	0.395197	4.42687e-05
Glyma.01G057900	Glyma.02G115800	0.0558799	0.122741	0.455265	0.00114337
Glyma.01G058000	Glyma.02G115900	0.00749614	0.0706838	0.106052	6.37933e-06
Glyma.01G058200	Glyma.02G116000	0.0168166	0.150507	0.111733	2.58971e-22
Glyma.01G058300	Glyma.02G116100	0.039519	0.130077	0.303812	0.000145142
Glyma.01G058400	Glyma.02G116200	0.0175826	0.0722112	0.243488	0.000287417
Glyma.01G058500	Glyma.02G116300	0.0240278	0.096385	0.24929	9.36339e-07
Glyma.01G059100	Glyma.02G116500	0.0873754	0.206082	0.423983	6.40296e-07
Glyma.01G059200	Glyma.02G116600	0.015086	0.0786654	0.191775	8.63368e-07
Glyma.01G060000	Glyma.02G117300	0.325152	0.742846	0.437711	0.109902
Glyma.01G060300	Glyma.02G118500	0.0533535	0.196955	0.270893	4.33534e-09
Glyma.01G060400	Glyma.02G118600	0.0663557	0.129727	0.511504	0.0141797
Glyma.01G060700	Glyma.02G119000	0.0146064	0.113202	0.129029	3.60528e-17
Glyma.01G060900	Glyma.02G119200	0.0216905	0.0887941	0.244279	0.0197647
Glyma.01G061000	Glyma.02G119300	0.0210307	0.0964129	0.218131	2.5259e-05
Glyma.01G061100	Glyma.02G119600	0.0628744	0.344658	0.182426	1.431e-25
Glyma.01G061500	Glyma.02G119700	0.0195029	0.0796223	0.244943	1.35515e-10
Glyma.01G061700	Glyma.02G120000	0.0491485	0.0617195	0.79632	0.155885
Glyma.01G061900	Glyma.02G120100	0.0887131	0.435393	0.203754	3.16696e-07
Glyma.01G062000	Glyma.02G120200	0.0157588	0.0753554	0.209126	0.000104459
Glyma.01G062100	Glyma.02G120300	0.0339631	0.119881	0.283307	6.49857e-09
Glyma.01G062200	Glyma.02G120400	0.0354243	0.12732	0.278231	3.91568e-07
Glyma.01G062300	Glyma.02G120500	0.0126695	0.216079	0.0586335	1.57513e-10
Glyma.01G062400	Glyma.02G120600	0.118265	0.293758	0.402593	2.09259e-11
Glyma.01G062800	Glyma.02G120700	0.0708804	0.0693137	1.0226	0.999997
Glyma.01G062900	Glyma.02G120800	0.0231739	0.131631	0.176052	2.01093e-25
Glyma.01G063000	Glyma.02G120900	0.020131	0.187379	0.107435	5.75585e-15
Glyma.01G063100	Glyma.02G121000	0.0222146	0.0465538	0.477181	0.0540936
Glyma.01G063500	Glyma.02G121100	0.00531398	0.0373554	0.142255	0.016601
Glyma.01G063600	Glyma.02G121200	0.0411807	0.0785863	0.524019	6.37091e-06
Glyma.01G063700	Glyma.02G121300	0.0469349	0.121992	0.384737	2.56172e-05
Glyma.01G063800	Glyma.02G121400	0.0272901	0.0837007	0.326043	0.000860434
Glyma.01G064100	Glyma.02G121500	0.0195393	0.0804226	0.242958	0.000451669
Glyma.01G064200	Glyma.02G121600	0.0284593	0.104121	0.273328	0.000549327
Glyma.01G064400	Glyma.02G122200	0.0593636	0.1174	0.505651	0.00122693
Glyma.01G064500	Glyma.02G122400	0.0260371	0.117489	0.221614	0.00743002
Glyma.01G064600	Glyma.02G122500	0.00677213	0.151176	0.0447964	4.21822e-21
Glyma.01G064900	Glyma.02G122700	0.062808	0.152521	0.4118	1.57999e-05
Glyma.01G065000	Glyma.02G122800	0.0641617	0.139097	0.461272	0.0619616
Glyma.01G065100	Glyma.02G122900	0.0178697	0.151329	0.118085	1.36678e-10
Glyma.01G065400	Glyma.02G123000	0.0561372	0.169432	0.331327	1.62993e-06
Glyma.01G065500	Glyma.02G123100	0.0649449	0.182036	0.35677	8.93823e-07
Glyma.01G066500	Glyma.02G123200	0.0369927	0.0822249	0.449897	0.00173798
Glyma.01G066600	Glyma.02G123400	0.0269894	0.0807887	0.334074	0.000806831
Glyma.01G067000	Glyma.02G123700	0.0144019	0.196564	0.0732679	1.61398e-28
Glyma.01G067200	Glyma.02G124000	0.0403412	0.190956	0.211259	1.55421e-09
Glyma.01G067600	Glyma.02G124100	0.0267315	0.167298	0.159784	7.18049e-16
Glyma.01G067700	Glyma.02G124200	0.15137	0.172113	0.879481	0.661634
Glyma.01G067800	Glyma.02G124300	0.0342775	0.136165	0.251736	1.98569e-06
Glyma.01G067900	Glyma.02G124400	0.00641831	0.14152	0.0453527	5.77275e-16
Glyma.01G068000	Glyma.02G124500	0.0119282	0.0916613	0.130133	3.92586e-17
Glyma.01G068200	Glyma.02G124700	0.149109	0.614137	0.242794	2.46657e-11
Glyma.01G068600	Glyma.02G125200	0.0341403	0.103338	0.330374	4.0484e-06
Glyma.01G068800	Glyma.02G125400	0.0397713	0.0800401	0.496892	0.00174707
Glyma.01G069000	Glyma.02G125900	0.0307975	0.119063	0.258666	0.00154478
Glyma.01G069300	Glyma.02G126100	0.0192113	0.0959951	0.200128	0.000239683
Glyma.01G069400	Glyma.02G126200	0.0527557	0.161587	0.326484	0.0426078
Glyma.01G069500	Glyma.02G126300	0.0247569	0.141503	0.174956	2.52647e-16
Glyma.01G069700	Glyma.02G126600	0.058727	0.0525492	1.11756	0.826572
Glyma.01G070200	Glyma.02G127200	0.0827408	0.424269	0.19502	1.45969e-12
Glyma.01G070300	Glyma.02G127400	0.0235655	0.0652463	0.361177	4.96622e-05
Glyma.01G070400	Glyma.02G127600	0.0317588	0.224181	0.141666	3.29277e-14
Glyma.01G071300	Glyma.02G128000	0.0230354	0.24546	0.0938458	4.34573e-18
Glyma.01G071400	Glyma.02G128100	0.0247703	0.130591	0.189678	0.0433669
Glyma.01G159500	Glyma.02G041700	0.0740614	0.757908	0.0977182	7.18533e-57
Glyma.01G159800	Glyma.02G041900	0.119495	1.12233	0.10647	4.69689e-42
Glyma.01G160000	Glyma.02G042000	0.210666	1.06234	0.198304	4.24029e-20
Glyma.01G160100	Glyma.02G042500	0.269616	3.8725	0.0696231	1.23266e-39
Glyma.01G160700	Glyma.02G042700	0.177023	0.47017	0.376509	5.6404e-08
Glyma.01G162000	Glyma.02G044000	0.10178	0.781809	0.130185	2.38863e-25
Glyma.01G162700	Glyma.02G044100	0.16475	1.03366	0.159385	1.54065e-16
Glyma.01G162900	Glyma.02G044300	0.0911374	0.444043	0.205245	1.23822e-12
Glyma.01G163000	Glyma.02G045000	0.43113	4.36537	0.0987612	1.69517e-52
Glyma.01G163300	Glyma.02G045400	0.26019	1.03874	0.250486	1.02432e-24
Glyma.01G163500	Glyma.02G045500	0.602655	1.70074	0.354349	0.000257193
Glyma.01G163900	Glyma.02G045700	0.0438806	1.11113	0.0394921	2.01008e-24
Glyma.01G164000	Glyma.02G045800	0.103306	0.602111	0.171573	3.32577e-24
Glyma.01G164200	Glyma.02G046100	0.0271809	0.56501	0.048107	1.20779e-24
Glyma.01G164800	Glyma.02G046600	0.107778	0.534276	0.201726	2.0548e-62
Glyma.01G164900	Glyma.02G046700	0.164863	0.607337	0.271452	4.9758e-21
Glyma.01G165000	Glyma.02G046800	0.107953	0.701684	0.153849	8.05469e-72
Glyma.01G165100	Glyma.02G046900	0.0381925	0.485792	0.0786191	5.95564e-41
Glyma.01G165300	Glyma.02G047000	0.185368	0.397495	0.466339	0.00781139
Glyma.01G165400	Glyma.02G047400	0.188159	1.03761	0.18134	2.11378e-26
Glyma.01G165700	Glyma.02G047600	0.100745	0.717008	0.140508	1.31446e-07
Glyma.01G165900	Glyma.02G047700	0.138507	1.42464	0.0972224	9.22328e-81
Glyma.01G166000	Glyma.02G047900	0.1853	2.26417	0.0818398	4.50676e-17
Glyma.01G166100	Glyma.02G048300	0.0832364	0.951105	0.0875155	2.39238e-52
Glyma.01G166200	Glyma.02G048400	0.109983	1.48778	0.073924	2.09728e-51
Glyma.01G166300	Glyma.02G048700	0.298378	1.68978	0.176578	2.25601e-31
Glyma.01G166700	Glyma.02G049100	0.105589	0.46691	0.226143	4.06217e-14
Glyma.01G167000	Glyma.02G049200	0.0572269	0.908914	0.0629619	5.1825e-17
Glyma.01G167300	Glyma.02G049300	0.0149481	1.16179	0.0128664	2.05187e-61
Glyma.01G167400	Glyma.02G049600	0.392086	1.79995	0.217832	1.14773e-13
Glyma.01G167900	Glyma.02G050100	0.147294	0.746611	0.197283	3.12284e-18
Glyma.01G168100	Glyma.02G050300	0.126549	1.52573	0.0829434	2.03444e-149
Glyma.01G168200	Glyma.02G050400	0.179945	0.571952	0.314616	3.03134e-28
Glyma.01G169100	Glyma.02G050700	0.133241	0.688643	0.193483	5.11811e-34
Glyma.01G169400	Glyma.02G051100	0.283888	1.61145	0.176169	5.70612e-25
Glyma.01G169500	Glyma.02G051300	0.251567	2.20219	0.114235	1.21219e-53
Glyma.01G170000	Glyma.02G051600	0.163335	1.05472	0.154861	3.39056e-21
Glyma.01G170200	Glyma.02G051700	0.0696022	0.546614	0.127333	6.75171e-64
Glyma.01G170700	Glyma.02G051900	0.255332	1.4829	0.172183	1.24749e-23
Glyma.01G170800	Glyma.02G052000	0.25471	1.27789	0.199321	2.25034e-42
Glyma.01G171100	Glyma.02G052700	0.126221	1.22935	0.102673	8.29385e-30
Glyma.01G171200	Glyma.02G053200	0.129963	0.897804	0.144756	1.51672e-40
Glyma.01G171400	Glyma.02G053500	0.129826	1.16623	0.111321	6.10379e-50
Glyma.01G171600	Glyma.02G054200	0.161011	0.929831	0.173162	1.14061e-19
Glyma.01G171700	Glyma.02G054400	0.313151	2.4241	0.129182	3.12132e-18
Glyma.01G172000	Glyma.02G054800	0.253954	0.849664	0.298887	1.2292e-16
Glyma.01G172100	Glyma.02G054900	0.162145	0.620443	0.261337	7.4249e-05
Glyma.01G172200	Glyma.02G055100	0.27199	0.49034	0.554695	1.76263e-12
Glyma.01G173700	Glyma.02G055300	0.0934396	0.537525	0.173833	1.66897e-25
Glyma.01G173800	Glyma.02G055500	0.256272	0.529304	0.484168	4.43057e-10
Glyma.01G173900	Glyma.02G055800	0.131436	0.722282	0.181972	8.32457e-06
Glyma.01G174200	Glyma.02G056100	0.235749	1.6107	0.146365	1.0067e-32
Glyma.01G175600	Glyma.02G057400	0.0359827	0.511277	0.0703781	4.34789e-64
Glyma.01G176600	Glyma.02G058400	0.128428	1.0786	0.119069	4.57443e-57
Glyma.01G177100	Glyma.02G058600	0.224559	0.944919	0.237649	2.13844e-18
Glyma.01G177200	Glyma.02G058700	0.161687	1.4662	0.110276	3.74232e-51
Glyma.01G177400	Glyma.02G058800	0.144329	0.454371	0.317647	1.01164e-11
Glyma.01G177500	Glyma.02G058900	0.200176	0.54307	0.3686	1.89418e-06
Glyma.01G178300	Glyma.02G059000	0.187226	2.27703	0.082224	2.03113e-42
Glyma.01G178400	Glyma.02G059100	0.154579	0.763418	0.202483	8.56288e-25
Glyma.01G178500	Glyma.02G059200	0.208823	1.30964	0.159451	6.26059e-21
