Duplicate 1	Duplicate 2	Ka	Ks	Ka/Ks	P-Value
Sequence		Ka	Ks	Ka/Ks	P-Value(Fisher)
Glyma.01G000400	Glyma.01G000600	0.3575	4.32591	0.0826415	3.44801e-72
Glyma.01G001300	Glyma.01G001500	0.225706	4.65856	0.0484498	5.44639e-131
Glyma.01G006100	Glyma.01G006400	0.101569	0.528922	0.19203	4.72045e-30
Glyma.01G010500	Glyma.01G010700	0.352972	3.33179	0.105941	4.95614e-59
Glyma.01G011300	Glyma.01G011700	0.0127419	0.0152722	0.83432	0.630496
Glyma.01G011600	Glyma.01G011800	0.219699	0.548204	0.400761	2.44166e-05
Glyma.01G012100	Glyma.01G012800	0.260954	0.459412	0.568017	6.65046e-05
Glyma.01G013000	Glyma.01G013300	0.0462361	0.163922	0.282062	0.00102543
Glyma.01G015000	Glyma.01G015200	0.129437	0.216445	0.598011	0.00659495
Glyma.01G021700	Glyma.01G021900	0.144646	0.4969	0.291097	2.88331e-10
Glyma.01G021900	Glyma.01G022300	0.196118	1.93064	0.101582	7.90935e-31
Glyma.01G024300	Glyma.01G024500	0.320224	0.720318	0.444559	0.000975779
Glyma.01G030600	Glyma.01G030800	0.036768	0.122825	0.299353	0.00587186
Glyma.01G032900	Glyma.01G033200	0.0680605	0.0423438	1.60733	0.0190942
Glyma.01G033000	Glyma.01G033200	0.0860522	0.108058	0.796355	0.346337
Glyma.01G033500	Glyma.01G033700	0.127128	0.321684	0.395197	2.82958e-07
Glyma.01G034300	Glyma.01G034600	0.118891	0.507563	0.234238	1.522e-19
Glyma.01G034400	Glyma.01G034900	0.27877	0.788877	0.353376	7.25927e-10
Glyma.01G035400	Glyma.01G035900	0.213927	0.676309	0.316316	7.66282e-09
Glyma.01G040700	Glyma.01G041200	0.244276	0.755897	0.323161	2.92443e-05
Glyma.01G048200	Glyma.01G048400	0.234648	1.25652	0.186744	2.69601e-21
Glyma.01G058700	Glyma.01G059000	0.012166	0.0175438	0.693462	0.479549
Glyma.01G059000	Glyma.01G059900	0.03616	0.0388433	0.930921	0.756693
Glyma.01G066100	Glyma.01G066300	0.00118596	0.00383165	0.309516	0.36259
Glyma.01G085400	Glyma.01G085600	0.0862557	0.373365	0.231022	6.08179e-15
Glyma.01G085600	Glyma.01G085800	0.175573	0.43687	0.401888	6.17299e-10
Glyma.01G100200	Glyma.01G100600	0.48126	1.39718	0.344451	0.0294716
Glyma.01G102600	Glyma.01G102900	0.149944	4.05692	0.03696	5.47065e-68
Glyma.01G113600	Glyma.01G113800	0.0042082	0.0328272	0.128192	0.0104347
Glyma.01G115300	Glyma.01G115600	0.539703	0.895872	0.602434	0.68292
Glyma.01G116300	Glyma.01G116500	0.177158	0.509111	0.347975	5.03761e-05
Glyma.01G116500	Glyma.01G116700	0.21588	0.459305	0.470016	0.0023486
Glyma.01G116900	Glyma.01G117700	0.118669	0.156017	0.760616	0.65838
Glyma.01G117000	Glyma.01G117200	0.0775565	0.219172	0.353861	4.35487e-17
Glyma.01G118300	Glyma.01G118700	0.0368191	0.0209396	1.75835	0.849205
Glyma.01G118400	Glyma.01G118800	0.0335282	0.0469803	0.713666	0.23226
Glyma.01G118700	Glyma.01G118900	NA	0.0390887	0	NA
Glyma.01G120100	Glyma.01G120300	0.0473561	0.0451396	1.0491	0.763935
Glyma.01G124800	Glyma.01G125000	0.411307	4.02225	0.102258	1.24293e-44
Glyma.01G137700	Glyma.01G138000	0.150439	1.14946	0.130878	1.41115e-48
Glyma.01G137900	Glyma.01G138200	NA	NA	NA	NA
Glyma.01G139300	Glyma.01G140200	0.213453	0.846118	0.252273	2.35245e-12
Glyma.01G139700	Glyma.01G140300	0.0622111	0.0945746	0.657799	0.0930976
Glyma.01G141000	Glyma.01G141600	0.200829	0.232231	0.864782	0.661544
Glyma.01G141600	Glyma.01G141800	0.029896	0.109256	0.273633	0.0233759
Glyma.01G141800	Glyma.01G142000	0.16208	0.317108	0.511121	0.028233
Glyma.01G142200	Glyma.01G142500	0.147056	0.261266	0.56286	0.192111
Glyma.01G160500	Glyma.01G160700	0.0289188	0.0357059	0.809917	0.488341
Glyma.01G165600	Glyma.01G165800	0.232338	1.11629	0.208133	2.92129e-17
Glyma.01G215100	Glyma.01G215300	0.0493296	0.158487	0.311254	0.0138998
Glyma.01G231000	Glyma.01G231200	0.313032	3.70561	0.0844752	8.63427e-26
Glyma.01G236500	Glyma.01G236700	0.546055	2.64688	0.206301	4.39515e-12
Glyma.01G240800	Glyma.01G241000	0.438143	4.49569	0.0974584	1.30245e-93
Glyma.02G019900	Glyma.02G020400	0.150895	0.0924161	1.63278	0.197764
Glyma.02G020900	Glyma.02G021200	0.419005	1.86333	0.224869	4.41305e-10
Glyma.02G021200	Glyma.02G021400	0.320822	1.14675	0.279767	3.43544e-07
Glyma.02G023600	Glyma.02G023800	0.360033	3.42044	0.10526	1.03399e-23
Glyma.02G028300	Glyma.02G028500	0.205918	0.351775	0.585367	0.102451
Glyma.02G028500	Glyma.02G028900	0.218825	0.672519	0.325382	0.000633309
Glyma.02G030000	Glyma.02G030400	0.303094	0.740204	0.409474	0.00760912
Glyma.02G030000	Glyma.02G030700	0.271569	0.339733	0.799359	0.1567
Glyma.02G031100	Glyma.02G031800	0.197541	0.568933	0.347214	3.14526e-12
Glyma.02G031400	Glyma.02G031600	0.154454	0.313588	0.492538	3.57093e-05
Glyma.02G031400	Glyma.02G031700	0.1289	0.326011	0.395385	1.56245e-07
Glyma.02G039800	Glyma.02G040000	0.0809637	0.126004	0.642549	0.195915
Glyma.02G048400	Glyma.02G048600	0.0163063	0.0540609	0.301628	0.00219702
Glyma.02G050700	Glyma.02G050900	0.528894	2.43626	0.217092	2.63384e-08
Glyma.02G053900	Glyma.02G054200	0.0791105	0.335112	0.236072	2.55156e-12
Glyma.02G062200	Glyma.02G062500	0.00436749	0.0310918	0.140471	1.80774e-07
Glyma.02G062900	Glyma.02G063100	0.108571	0.472959	0.229556	1.27079e-10
