Duplicate 1	Duplicate 2	Ka	Ks	Ka/Ks	P-Value
Sequence		Ka	Ks	Ka/Ks	P-Value(Fisher)
Glyma.01G007200	Glyma.01G007300	0.0552462	0.104645	0.527941	0.00356092
Glyma.01G007400	Glyma.01G007500	0.2082	0.871075	0.239016	2.63226e-43
Glyma.01G011500	Glyma.01G011600	0.212213	0.328228	0.64654	0.00339123
Glyma.01G012100	Glyma.01G012200	0.211099	0.393396	0.536607	4.82784e-05
Glyma.01G015200	Glyma.01G015300	0.38914	2.26102	0.172108	1.71523e-10
Glyma.01G020600	Glyma.01G020700	0.369693	1.83291	0.201698	6.71361e-22
Glyma.01G020900	Glyma.01G021000	0.107971	0.856919	0.125999	2.6851e-40
Glyma.01G032300	Glyma.01G032400	0.199371	0.255283	0.780978	0.294902
Glyma.01G033200	Glyma.01G033300	0.0717176	0.057003	1.25814	0.17681
Glyma.01G033800	Glyma.01G033900	0.213975	0.355028	0.6027	0.008379
Glyma.01G034300	Glyma.01G034400	0.225325	0.650294	0.346498	7.60691e-11
Glyma.01G034700	Glyma.01G034800	0.106615	0.168644	0.63219	0.0268006
Glyma.01G035100	Glyma.01G035200	0.176525	0.750485	0.235215	1.21884e-11
Glyma.01G036900	Glyma.01G037000	0.451386	0.588571	0.766918	0.4182
Glyma.01G037000	Glyma.01G037100	0.0329865	0.0205722	1.60345	0.704318
Glyma.01G040000	Glyma.01G040100	0.131374	0.106206	1.23697	0.673103
Glyma.01G040100	Glyma.01G040200	0.18403	0.252929	0.727595	0.375184
Glyma.01G041100	Glyma.01G041200	0.0959334	1.70011	0.0564278	6.17116e-19
Glyma.01G048800	Glyma.01G048900	0.0922374	0.225311	0.409378	1.26735e-06
Glyma.01G051600	Glyma.01G051700	0.161604	0.302226	0.534713	0.00127627
Glyma.01G066000	Glyma.01G066100	0.00238102	NA	NA	NA
Glyma.01G070000	Glyma.01G070100	0.0140421	0.0232995	0.60268	0.223515
Glyma.01G081600	Glyma.01G081700	0.060797	0.266111	0.228465	4.01396e-17
Glyma.01G085600	Glyma.01G085700	0.132459	0.377859	0.350551	6.84208e-09
Glyma.01G092200	Glyma.01G092300	0.186899	0.499321	0.374306	4.83465e-07
Glyma.01G098200	Glyma.01G098300	0.237412	0.209516	1.13314	0.52601
Glyma.01G102500	Glyma.01G102600	0.192564	1.15904	0.16614	2.00788e-13
Glyma.01G103600	Glyma.01G103700	0.405593	0.862255	0.470387	0.00455035
Glyma.01G103800	Glyma.01G103900	0.157182	0.239974	0.654994	0.0729956
Glyma.01G108200	Glyma.01G108300	0.237085	0.556627	0.425933	0.010295
Glyma.01G108300	Glyma.01G108400	0.137069	0.251511	0.544983	0.0730555
Glyma.01G108800	Glyma.01G108900	0.0095193	0.0158059	0.602264	0.345923
Glyma.01G112200	Glyma.01G112300	0.156723	0.640124	0.244833	2.58466e-41
Glyma.01G113700	Glyma.01G113800	0.0156241	0.0196201	0.796331	0.537676
Glyma.01G115600	Glyma.01G115700	0.638675	1.30797	0.488295	3.69053e-05
Glyma.01G116600	Glyma.01G116700	0.112253	0.123122	0.911721	0.853863
Glyma.01G118800	Glyma.01G118900	0.024635	0.0340299	0.723923	0.235762
Glyma.01G120000	Glyma.01G120100	0.0313742	0.0340126	0.922429	0.718106
Glyma.01G125300	Glyma.01G125400	0.161212	0.324345	0.497039	1.2896e-10
Glyma.01G126600	Glyma.01G126700	0.272072	1.46605	0.185581	1.15205e-13
Glyma.01G127100	Glyma.01G127200	0.322453	1.5472	0.208411	8.0979e-11
Glyma.01G128300	Glyma.01G128400	0.114027	0.379907	0.300145	3.18889e-11
Glyma.01G129000	Glyma.01G129100	0.0253269	0.0416584	0.607965	0.390917
Glyma.01G132500	Glyma.01G132600	0.397656	3.12818	0.127121	5.15665e-15
Glyma.01G134600	Glyma.01G134700	0.303489	0.787599	0.385334	0.00926227
Glyma.01G138000	Glyma.01G138100	NA	0.00265023	-8.37832e-13	NA
Glyma.01G138600	Glyma.01G138700	0.12539	0.361097	0.347247	9.89804e-05
Glyma.01G140000	Glyma.01G140100	0.67973	3.69381	0.184019	1.1175e-30
Glyma.01G141200	Glyma.01G141300	0.165997	0.17766	0.934353	1
Glyma.01G141300	Glyma.01G141400	0.0712871	0.141186	0.504915	0.145559
Glyma.01G142000	Glyma.01G142100	0.0983561	0.211772	0.464444	0.0396996
Glyma.01G142100	Glyma.01G142200	0.17296	0.221678	0.78023	0.598666
Glyma.01G143800	Glyma.01G143900	0.317876	3.71574	0.0855484	3.05524e-27
Glyma.01G153800	Glyma.01G153900	0.373217	0.893748	0.417587	5.27907e-05
Glyma.01G155400	Glyma.01G155500	0.0989408	0.255893	0.386649	0.000256516
Glyma.01G160700	Glyma.01G160800	0.0539997	0.13523	0.399318	0.00104743
Glyma.01G160800	Glyma.01G160900	0.131306	0.552426	0.23769	3.02675e-13
Glyma.01G161800	Glyma.01G161900	0.177127	0.440787	0.401842	0.000804244
Glyma.01G168900	Glyma.01G169000	0.185213	0.704323	0.262965	4.56016e-26
Glyma.01G172600	Glyma.01G172700	0.276291	0.982802	0.281125	8.99073e-12
Glyma.01G172700	Glyma.01G172800	0.110393	0.199921	0.552184	0.00555204
Glyma.01G172800	Glyma.01G172900	0.0914024	0.199458	0.458255	0.000422403
Glyma.01G173500	Glyma.01G173600	0.0642708	0.782046	0.0821828	3.0401e-63
Glyma.01G179400	Glyma.01G179500	0.0543393	0.0896427	0.606177	0.0253619
Glyma.01G179500	Glyma.01G179600	0.160976	0.493888	0.325937	2.61244e-14
Glyma.01G179600	Glyma.01G179700	0.245118	0.81161	0.302015	4.99531e-18
Glyma.01G181800	Glyma.01G181900	0.126447	0.358335	0.352874	3.56271e-13
Glyma.01G183300	Glyma.01G183400	0.19896	0.340535	0.584257	4.10337e-06
Glyma.01G187000	Glyma.01G187100	0.13659	0.2695	0.506828	0.00881508
Glyma.01G198000	Glyma.01G198100	0.421116	1.7253	0.244082	1.20551e-21
Glyma.01G201900	Glyma.01G202000	0.121087	0.384542	0.314886	0.00032547
Glyma.01G202400	Glyma.01G202500	0.160982	1.45472	0.110662	2.05826e-19
Glyma.01G205500	Glyma.01G205600	0.346499	0.643222	0.538694	0.00133601
Glyma.01G206300	Glyma.01G206400	0.201835	0.445827	0.45272	2.92234e-06
Glyma.01G206400	Glyma.01G206500	0.133745	0.30462	0.439056	1.87935e-09
Glyma.01G209200	Glyma.01G209300	0.0443443	0.095805	0.46286	1.26875e-07
Glyma.01G213900	Glyma.01G214000	0.262344	1.93803	0.135366	2.92187e-46
Glyma.01G215100	Glyma.01G215200	0.0631775	0.158431	0.398771	0.0850197
Glyma.01G217600	Glyma.01G217700	0.299067	3.58004	0.0835374	0
Glyma.01G219000	Glyma.01G219100	0.188021	2.31045	0.0813782	2.70687e-110
Glyma.01G219400	Glyma.01G219500	0.36566	2.79815	0.130679	4.83192e-12
Glyma.01G220100	Glyma.01G220200	0.180534	0.519835	0.347291	2.59903e-06
Glyma.01G222800	Glyma.01G222900	0.475299	1.91942	0.247626	9.87624e-08
Glyma.01G230000	Glyma.01G230100	0.362852	4.18947	0.0866105	9.18772e-47
Glyma.01G232100	Glyma.01G232200	0.0946517	0.338644	0.279502	3.62502e-17
Glyma.01G238200	Glyma.01G238300	0.0626626	0.147276	0.425477	5.46234e-10
Glyma.01G239300	Glyma.01G239400	0.16084	1.36643	0.117708	3.25066e-18
Glyma.01G239400	Glyma.01G239500	0.2903	3.36341	0.0863112	1.50577e-13
Glyma.01G239500	Glyma.01G239600	0.332641	1.7318	0.192078	2.82135e-26
Glyma.01G240800	Glyma.01G240900	0.414576	4.49678	0.092194	1.58628e-83
Glyma.02G004700	Glyma.02G004800	0.116808	0.200933	0.581326	0.076553
Glyma.02G008300	Glyma.02G008400	0.299703	1.43837	0.208363	1.25199e-45
Glyma.02G015700	Glyma.02G015800	0.0205936	0.159349	0.129235	8.6478e-16
Glyma.02G021400	Glyma.02G021500	0.0828503	0.320832	0.258235	6.50779e-10
Glyma.02G022600	Glyma.02G022700	0.379619	2.39114	0.158761	8.70221e-35
Glyma.02G023000	Glyma.02G023100	0.104443	1.07941	0.0967599	4.782e-16
