Duplicate 1	Duplicate 2	Ka	Ks	Ka/Ks	P-Value
Sequence		Ka	Ks	Ka/Ks	P-Value(Fisher)
Glyma.01G000900	Glyma.19G020300	1.08631	4.51827	0.240425	1.26183e-30
Glyma.01G001200	Glyma.08G313200	0.815504	4.72282	0.172673	7.89563e-37
Glyma.01G001400	Glyma.20G128900	0.138896	0.162089	0.85691	0.721249
Glyma.01G006900	Glyma.11G111600	0.0439969	0.173827	0.253108	2.25593e-05
Glyma.01G011900	Glyma.01G013300	0.0986905	0.254061	0.388452	1.38646e-11
Glyma.01G012000	Glyma.01G013100	0.123252	0.18479	0.666986	0.000606462
Glyma.01G012700	Glyma.18G003800	0.10166	0.336536	0.302077	1.70694e-05
Glyma.01G013200	Glyma.01G011500	0.205876	0.460551	0.447021	2.91439e-05
Glyma.01G013400	Glyma.10G253900	0.210723	0.749099	0.281302	1.87192e-09
Glyma.01G013500	Glyma.20G137700	0.243783	0.768469	0.317232	4.05854e-18
Glyma.01G015800	Glyma.09G172500	0.447211	4.10766	0.108873	1.86276e-43
Glyma.01G016100	Glyma.08G294400	0.770231	4.54954	0.169298	5.17707e-34
Glyma.01G016300	Glyma.09G206500	0.0864377	0.154826	0.558289	0.224658
Glyma.01G017600	Glyma.09G205400	0.0128056	0.101094	0.12667	0.00232479
Glyma.01G022000	Glyma.10G271100	0.561174	2.32451	0.241416	6.92649e-08
Glyma.01G022100	Glyma.12G215500	0.00318951	0.629533	0.00506648	1.07481e-24
Glyma.01G022200	Glyma.19G156700	0.133738	0.163271	0.819118	0.456645
Glyma.01G024200	Glyma.16G104500	0.28627	0.507011	0.564623	0.0899382
Glyma.01G027600	Glyma.08G135900	0.203092	0.644683	0.315026	3.39494e-08
Glyma.01G029600	Glyma.12G002900	0.0235072	0.482163	0.0487537	5.85191e-34
Glyma.01G033600	Glyma.20G217200	0.0560017	0.278016	0.201434	0.00385683
Glyma.01G035800	Glyma.15G127100	0.156691	0.335943	0.466423	2.21202e-06
Glyma.01G039300	Glyma.08G036400	0.0351494	0.00778301	4.51616	0.186222
Glyma.01G043100	Glyma.01G186900	0.00134377	0.00423575	0.317245	0.366952
Glyma.01G043200	Glyma.01G187000	0.0023794	0.00756333	0.314597	0.365103
Glyma.01G044700	Glyma.08G127100	0.108802	0.155141	0.701307	0.198813
Glyma.01G045600	Glyma.02G031900	0.163787	0.350102	0.467825	0.000627474
Glyma.01G046300	Glyma.11G053400	0.207717	1.24432	0.166932	6.44039e-35
Glyma.01G047100	Glyma.02G107700	0.0375583	0.146287	0.256745	7.57673e-11
Glyma.01G047300	Glyma.02G022800	0.223011	0.40914	0.545073	0.0002219
Glyma.01G047400	Glyma.02G243200	0.548873	4.18472	0.131161	4.21136e-46
Glyma.01G049200	Glyma.12G211300	0.031573	0.0475525	0.663962	0.207418
Glyma.01G049300	Glyma.03G234000	0.202324	0.340119	0.594864	0.0238957
Glyma.01G049700	Glyma.07G261600	0.224103	3.18062	0.0704588	1.08893e-40
Glyma.01G049800	Glyma.13G202100	0.0200901	NA	NA	NA
Glyma.01G050200	Glyma.02G229500	0.0628526	0.194979	0.322355	5.04902e-05
Glyma.01G050800	Glyma.02G109600	0.0271614	0.0526402	0.515983	0.317182
Glyma.01G051000	Glyma.11G220500	0.213122	0.206544	1.03185	0.850646
Glyma.01G051100	Glyma.18G234600	0.115521	0.248176	0.465481	0.0807134
Glyma.01G051800	Glyma.06G015900	0.185967	0.413256	0.450005	0.00214928
Glyma.01G053400	Glyma.07G239600	0.278612	0.777053	0.358549	0.129065
Glyma.01G053900	Glyma.11G080600	0.107968	0.140119	0.770546	0.392628
Glyma.01G055100	Glyma.02G030700	0.212367	0.312708	0.679123	0.0937431
Glyma.01G055700	Glyma.15G011200	0.25299	1.23693	0.204531	3.61757e-07
Glyma.01G055800	Glyma.09G032800	0.0305892	0.0856902	0.356974	0.0112651
Glyma.01G056100	Glyma.02G124700	0.189813	0.904971	0.209745	1.59867e-19
Glyma.01G057300	Glyma.20G026300	0.238859	3.18137	0.0750804	5.61497e-11
Glyma.01G058800	Glyma.12G010800	0.075098	0.073872	1.0166	0.985491
Glyma.01G059300	Glyma.08G290100	0.0522667	0.0986163	0.53	0.154629
Glyma.01G059400	Glyma.20G031600	0.032799	0.0601267	0.545499	0.271365
Glyma.01G059500	Glyma.16G167300	0.0105555	0.00741193	1.42413	0.782935
Glyma.01G059600	Glyma.17G251900	0.165848	0.514563	0.322308	2.38721e-05
Glyma.01G059700	Glyma.06G156000	0.148436	0.2859	0.519188	0.0368186
Glyma.01G060600	Glyma.08G021700	0.0412887	0.0550735	0.749702	0.480041
Glyma.01G061200	Glyma.17G025000	0.218069	0.461716	0.472302	0.0467329
Glyma.01G061300	Glyma.02G252700	0.241952	0.27621	0.875972	0.599148
Glyma.01G061400	Glyma.08G331800	0.0647755	0.0517062	1.25276	0.640313
Glyma.01G062700	Glyma.01G016400	0.0734204	0.0609348	1.2049	0.808253
Glyma.01G063200	Glyma.08G330800	0.0299709	0.0714276	0.419598	0.027792
Glyma.01G063300	Glyma.16G211100	0.114693	0.167401	0.685143	0.226582
Glyma.01G063900	Glyma.08G297400	0.0684382	0.171679	0.398641	0.0357429
Glyma.01G064300	Glyma.16G052300	0.09099	0.225141	0.404147	4.85209e-06
Glyma.01G064800	Glyma.09G156500	0.390125	1.11195	0.350846	0.000526348
Glyma.01G065200	Glyma.14G142800	0.0290264	0.0630988	0.460015	0.00708325
Glyma.01G065600	Glyma.02G123100	0.026256	0.0912839	0.28763	0.000329326
Glyma.01G065800	Glyma.02G030700	0.177425	0.391549	0.453138	3.50703e-11
Glyma.01G065900	Glyma.18G277100	0.0576713	0.07126	0.809307	0.673012
Glyma.01G066400	Glyma.18G033500	0.163833	0.152312	1.07564	0.795572
Glyma.01G066700	Glyma.07G028600	0.139269	0.245359	0.567614	0.0267964
Glyma.01G066800	Glyma.01G069000	0.152441	0.108638	1.40321	0.536768
Glyma.01G067300	Glyma.01G162200	0.216935	0.756566	0.286736	2.28413e-08
Glyma.01G068500	Glyma.18G075000	0.258694	0.485726	0.532592	0.000475921
Glyma.01G069200	Glyma.05G211100	0.0630544	0.891109	0.0707594	0.000135005
Glyma.01G070700	Glyma.13G241000	0.329036	1.15727	0.284321	1.08501e-10
Glyma.01G070800	Glyma.06G143700	0.0606906	0.132383	0.458448	0.082831
Glyma.01G070900	Glyma.06G143800	0.0247714	0.0182993	1.35368	0.945828
Glyma.01G071000	Glyma.16G030800	0.486865	4.15783	0.117096	6.68367e-39
