Duplicate_1	Duplicate_2	Ka	Ks	Ka.Ks	Mode	Divergence_MYA
Glyma.01G180400	Glyma.17G066000	0.720222	3.56739	0.20188999999999999	DD	292
Glyma.02G060800	Glyma.13G094200	0.576138	3.51502	0.163908	DD	288
Glyma.07G186200	Glyma.15G062700	0.222583	1.54343	0.144213	DD	127
Glyma.07G186300	Glyma.13G251700	0.360947	2.35859	0.153035	DD	193
Glyma.07G186400	Glyma.15G062700	0.261529	3.36496	0.0777213	DD	276
Glyma.10G047000	Glyma.13G094200	0.654623	3.50711	0.186656	DD	287
Glyma.12G046800	Glyma.01G180400	0.500116	3.45194	0.14488	DD	283
Glyma.13G094100	Glyma.17G066100	0.113133	0.166316	0.680225	DD	14
Glyma.13G094200	Glyma.17G066000	0.0239193	0.212424	0.112602	DD	17
Glyma.13G251600	Glyma.13G252000	NA	NA	NA	DD	NA
Glyma.13G251700	Glyma.13G252000	NA	0.00750231	-1.47984e-13	DD	1
Glyma.13G252000	Glyma.13G252400	NA	NA	NA	DD	NA
Glyma.13G252500	Glyma.15G062400	0.0676356	0.280166	0.241413	DD	23
Glyma.13G252600	Glyma.07G186300	0.340788	2.0358	0.167397	DD	167
Glyma.15G062300	Glyma.13G252000	0.386272	3.50218	0.110295	DD	287
Glyma.15G062400	Glyma.15G062700	0.101649	0.493623	0.205924	DD	40
Glyma.15G062500	Glyma.13G251700	0.135493	0.770273	0.175903	DD	63
Glyma.15G062700	Glyma.13G251700	0.124556	0.596393	0.208849	DD	49
Glyma.15G062800	Glyma.13G251700	0.0489317	0.183246	0.267027	DD	15
Glyma.15G062900	Glyma.13G251700	0.0661341	0.205039	0.322544	DD	17
Glyma.16G143300	Glyma.07G186300	0.599735	3.46085	0.173291	DD	284
Glyma.17G066000	Glyma.07G186200	0.446713	3.46906	0.128771	DD	284
Glyma.17G066100	Glyma.13G094200	0.46956	1.78974	0.262363	DD	147
Glyma.13G252000	Glyma.13G252300	NA	0.00750231	-1.47984e-13	PD	1
Glyma.13G252000	Glyma.13G252500	0.164318	0.717545	0.229	PD	59
Glyma.13G252000	Glyma.13G252600	0.378548	3.45131	0.109682	PD	283
Glyma.15G062500	Glyma.15G062700	0.074522	0.192334	0.387461	PD	16
Glyma.13G094100	Glyma.13G094200	0.401177	3.57088	0.112347	TD	293
Glyma.13G251600	Glyma.13G251700	NA	0.00750231	-1.47984e-13	TD	1
Glyma.13G252300	Glyma.13G252400	NA	0.00750231	-1.47984e-13	TD	1
Glyma.15G062300	Glyma.15G062400	0.391091	3.47264	0.11262	TD	285
Glyma.15G062400	Glyma.15G062500	0.111981	0.716016	0.156395	TD	59
Glyma.17G066000	Glyma.17G066100	0.47071	3.27194	0.143863	TD	268
Glyma.07G186300	Glyma.15G062300	0.318807	1.33653	0.238533	TRD	110
Glyma.07G186400	Glyma.15G062400	0.347573	2.53253	0.137244	TRD	208
Glyma.10G047000	Glyma.17G066000	0.59154	3.36568	0.175757	TRD	276
Glyma.15G062900	Glyma.13G252300	0.0661341	0.205039	0.322544	TRD	17
Glyma.15G062900	Glyma.13G252400	0.0661341	0.205039	0.322544	TRD	17
Glyma.01G180400	Glyma.02G060800	0.285978	2.30247	0.124205	WGD	189
Glyma.01G180400	Glyma.11G121900	0.52565	3.4218	0.153618	WGD	280
Glyma.01G180400	Glyma.11G061900	0.0721017	0.387357	0.186138	WGD	32
Glyma.01G180400	Glyma.16G143300	0.320604	1.83883	0.174352	WGD	151
Glyma.02G060800	Glyma.16G143300	0.0471498	0.416515	0.113201	WGD	34
Glyma.07G186200	Glyma.15G062400	0.214044	0.923268	0.231833	WGD	76
Glyma.13G252300	Glyma.15G062800	0.0489317	0.183246	0.267027	WGD	15
Glyma.13G252400	Glyma.15G062400	0.0851104	0.482409	0.176428	WGD	40
Glyma.13G252600	Glyma.15G062300	0.0300092	0.143389	0.209285	WGD	12
Glyma.13G094100	Glyma.17G066000	0.423061	3.57281	0.118411	WGD	293
